,time_value,geo_value,cc,value,sample_size
3822,2020-11-22,az,3,90.67752540000001,4863.5882
3873,2020-11-23,az,3,90.8661758,4898.3717
3924,2020-11-24,az,3,91.065235,4895.6033
3975,2020-11-25,az,3,91.0057291,4874.3257
4026,2020-11-26,az,3,91.14489859999999,4849.3115
4077,2020-11-27,az,3,91.3868387,4857.8432
4128,2020-11-28,az,3,91.3786857,4922.8432
4179,2020-11-29,az,3,91.3293128,4998.6037
4230,2020-11-30,az,3,91.52079859999999,5135.0969
4281,2020-12-01,az,3,91.35109859999999,5346.5
4332,2020-12-02,az,3,91.13411049999999,5599.1149
4383,2020-12-03,az,3,91.20232390000001,5801.6687
4434,2020-12-04,az,3,91.218822,5858.1228
4485,2020-12-05,az,3,91.23125300000001,5889.2372
4536,2020-12-06,az,3,91.60941329999999,5880.5911
4587,2020-12-07,az,3,91.6167031,5885.7055
4,2020-09-08,ca,4,91.5766446,2593.0126
49,2020-09-09,ca,4,91.3090491,5988.0213
100,2020-09-10,ca,4,91.41496509999999,9335.0809
151,2020-09-11,ca,4,91.47534250000001,12603.7141
202,2020-09-12,ca,4,91.56629190000001,15976.7228
253,2020-09-13,ca,4,91.5621634,19322.8455
304,2020-09-14,ca,4,91.6624796,22493.8714
355,2020-09-15,ca,4,91.7682791,22892.9747
406,2020-09-16,ca,4,91.7789552,22496.9689
457,2020-09-17,ca,4,91.721018,22098.0321
508,2020-09-18,ca,4,91.708547,21739.4345
559,2020-09-19,ca,4,91.56767690000001,21269.4384
610,2020-09-20,ca,4,91.52393409999999,20829.3254
661,2020-09-21,ca,4,91.4133377,20549.3843
712,2020-09-22,ca,4,91.1507688,20402.3375
763,2020-09-23,ca,4,90.97664240000002,20241.3375
814,2020-09-24,ca,4,90.8897422,19949.3565
865,2020-09-25,ca,4,90.7205462,19488.327
916,2020-09-26,ca,4,90.7237745,19387.3386
967,2020-09-27,ca,4,90.68606949999999,19416.3513
1018,2020-09-28,ca,4,90.5119042,19418.2665
1069,2020-09-29,ca,4,90.50792009999999,19294.2294
1120,2020-09-30,ca,4,90.58959240000002,19164.2517
1171,2020-10-01,ca,4,90.7200894,19229.1196
1222,2020-10-02,ca,4,90.9180347,19483.1166
1273,2020-10-03,ca,4,91.16283359999998,19355.1797
1324,2020-10-04,ca,4,91.2913026,19250.1603
1375,2020-10-05,ca,4,91.50618270000001,19219.1603
1426,2020-10-06,ca,4,91.6461299,19505.1974
1477,2020-10-07,ca,4,91.7980484,19537.1878
1528,2020-10-08,ca,4,91.8461745,19689.181
1579,2020-10-09,ca,4,91.9338475,19779.1877
1630,2020-10-10,ca,4,91.74862809999999,19698.7557
1681,2020-10-11,ca,4,91.78190759999998,19620.3431
1732,2020-10-12,ca,4,91.6849704,19295.3847
1783,2020-10-13,ca,4,91.5626479,18802.3282
1834,2020-10-14,ca,4,91.36045940000001,18605.3482
1885,2020-10-15,ca,4,91.19311429999999,18229.3808
1936,2020-10-16,ca,4,90.9547341,17638.3798
1987,2020-10-17,ca,4,91.0760149,17261.7899
2038,2020-10-18,ca,4,91.0432532,16830.2093
2089,2020-10-19,ca,4,91.0980635,16664.2368
2140,2020-10-20,ca,4,91.0616405,16473.23
2191,2020-10-21,ca,4,91.31482940000001,16297.1945
2242,2020-10-22,ca,4,91.2166378,15864.2252
2293,2020-10-23,ca,4,91.16025690000001,15661.2221
2344,2020-10-24,ca,4,90.94249,15417.178999999998
2395,2020-10-25,ca,4,90.7689192,15203.2077
2446,2020-10-26,ca,4,90.8655132,14915.1385
2497,2020-10-27,ca,4,91.0887973,14245.2554
2548,2020-10-28,ca,4,91.0309902,13618.2582
2599,2020-10-29,ca,4,91.409779,12973.2017
2650,2020-10-30,ca,4,91.6433163,12450.2622
2701,2020-10-31,ca,4,92.00090340000001,12619.2964
2752,2020-11-01,ca,4,92.1844888,12813.261
2803,2020-11-02,ca,4,91.9364242,13014.3176
2854,2020-11-03,ca,4,91.72850759999999,13231.1949
